link,name,price,rating,description,manual,country
https://goldapple.ru/19000222826-imperiale-vanille-malika,CHOPARD Imperiale vanille malika,12 528₽,4.9,"Насыщенный и роскошный аромат Chopard построен вокруг вневременной красоты ванили, дополненной неожиданными и яркими нотами. Композиция переливается от темных, глубоких тонов к ярким и соблазнительным граням, от таинственных, мистических аккордов к современному звучанию. В этом аромате, отражающем чувственность и уверенность, чарующий аккорд ванили обрамляют пачули, загадочный ладан, розовый перец и тонкая сладость личи. В базовых нотах гармонируют сандал, кашмеран и опопанакс, делающие шлейф гипнотическим и притягательным. Парфюмер – Dora Baghriche.",Только для наружного применения.,не указана
https://goldapple.ru/19000196111-arilli-di-melagrana,WALLY 1925 Arilli di Melagrana,6 687₽,0.0,"Гранат – это идеальный аромат для Рождества, испокон веков он олицетворял плодородие и изобилие. Дарить гранаты на Рождество или вкушать его ягоды в кругу семьи в Новогоднюю ночь сулит удачу в будущем году. Его фруктовый аромат, деликатный и стойкий, дарит ощущение чистоты и свежести, будто свежевыжатый гранатовый сок.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",не указана
https://goldapple.ru/19000301236-crystal-noir,VERSACE Crystal noir,12 800₽,4.9,"Завораживающий и насыщенный аромат CRYSTAL NOIR PARFUM – символ виртуозности и креативности дома VERSACE, его современной интерпретации роскоши. Многогранная, словно бриллиант, композиция создана для уверенных в себе женщин, которые идут по жизни с высоко поднятой головой и любят истинный шик. Магия аромата начинается с верхних нот пикантного розового перца, черной смородины и цитрусов, напоминающих о чарующей красоте заката. В сердце композиции пышный цветочный букет из пьянящей туберозы и ландыша окутан соблазнительной сладостью карамели. Таинственный шлейф, напоминающий о загадочном и чарующем духе Востока, соткан из древесных и ориентальных нот золотистой ванильной орхидеи, сандала и амбры. Это волнующее, чувственное сочетание придает шарм и переносит в мир роскоши.",Только для наружного применения.,не указана
https://goldapple.ru/19760300423-902-armagnac-tabac-blond-cannelle,"BON PARFUMEUR PARIS! 902 – armagnac, tabac blond, cannelle",5 695₽,4.6,"Арманьяк, табак, корица – три характерные ноты аромата 902 от Bon Parfumeur. В его многогранном характере сочетаются крепость арманьяка и нежность ванили. Знакомство с невинно свежей композицией начинается с цитрусов, но затем она раскрывает неожиданные новые стороны. На первый план выходят пряные и пудровые ноты, которые постепенно превращаются в древесный аккорд, напоминающий сухие осенние листья. Эхо ванили и табака становится громче, и спустя мгновение ярко звучат ноты, напоминающие кофе и кожу. Насыщенный гурманский аромат согревает и заставляет забыть о контроле.  Верхние ноты: апельсин, базилик, имбирь, коньяк. Ноты сердца: корица, гвоздика, герань, слива. Базовые ноты: пачули, лабданум, ваниль, табак.",не указана,не указана
https://goldapple.ru/19000004553-black-pepper-amber-neroli,"ZIELINSKI & ROZEN Black Pepper, Vetiver, Neroli, Amber",не указана,4.8,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность. Эрез Розен Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. Все ароматы Zielinski&Rozen категории унисекс. У данного продукта меняется название аромата. Актуальное название : Black Pepper, Vetiver, Neroli, Amber.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,не указана
https://goldapple.ru/19760313139-tobacco-tonka-bean,BANANA REPUBLIC Tobacco & Tonka Bean,8 305₽,4.6,"Восточный гурманский аромат Tobacco & Tonka Bean от Banana Republic очаровывает верхними нотами груши Анжу и золотистой сливы Мирабель. В сердце декадентской, соблазнительной композиции – кокос и листья табака, дополняющие насыщенность и сливочную сладость ванили. Бобы тонка подчеркивают тёмный, чувственный характер инновационного и многогранного аромата. Парфюмер – Gino Percontino.",Только для наружного применения.,не указана
https://goldapple.ru/19000356153-apom,MAISON FRANCIS KURKDJIAN APOM,не указана,0.0,"APOM - это часть вашей индивидуальности, которой вы делитесь с окружающими.  Пленительный аромат с чувственным сияющим и благородным шлейфом. Эта амброво-цветочная парфюмерная вода мгновенно оставляет на коже неповторимую ольфакторную подпись. В своих нотах APOM пересекается с классическими произведениями парфюмерии, но благодаря своей структуре аромат решительно привязан к современности. Яркие верхние ноты сменяются мягким цветочным сердцем – искусный баланс ароматной искрящейся лаванды и притягательного флердоранжа  согревает теплым деликатным шлейфом. Солнечные аккорды иланг-иланга сочетаются с ванилью, которая раскрывается в объятиях белого мускуса. Глубокий аромат, подчеркивающий как силуэт, так и индивидуальность.","Небольшое количество нанести на тело, избегая попадания в глаза.",Франция
https://goldapple.ru/19000132893-gardenia-cardamom,BANANA REPUBLIC Gardenia & Cardamom,6 110₽,4.5,"Цветочный аромат Gardenia & Cardamom от Banana Republic открывается нотами сочного мандарина и чувственной гардении. В сердце композиции звучат тубероза и пикантный кардамон, окутанные тёплой амброй и древесными нотами. Этот аромат — словно пышный букет свежесрезанных белых цветов, в котором выделяется яркий дуэт гардении и туберозы. Кардамон и древесные ноты добавляют уникальный штрих идеальному балансу нежности и красоты. Парфюмер – Vincent Kuczinski. Семейство аромата: цветочный",Только для наружного применения.,США
https://goldapple.ru/19000196054-cioccolato-e-arancio,LOGEVY FIRENZE 1965 Cioccolato e Arancio,14 850₽,2.0,"Сладкий и насыщенный аромат, который заявляет о себе с элегантностью. Свежая нота апельсина сочетается с гурманских вкусом шоколада.","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",не указана
https://goldapple.ru/32110200004-moschino-toy2,MOSCHINO TOY 2,11 250₽,4.8,"Культовый аромат от Moschino в виде плюшевого мишки возвращается!Второй эксклюзивный запуск, на этот раз – в стеклянном флаконе. Искрящуюся бодрость мандарина и яблока сорта «Гренни Смит» сопровождают нежные цветочные ноты магнолии, раскрывая свежий, игривый аромат. Чистая и утонченная нота лепестков жасмина усиливается бархатистым звучанием пиона и хрустящей свежестью белой смородины. Древесные ноты амбры и сандала добавляют невероятную чувственность, в то время как акцент кристаллического мускуса наполняет аромат нежностью и сиянием.",не указана,Италия
